time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-30 00:00:00+00:00,1,1,,
2021-10-31 00:00:00+00:00,2,2,,
2021-11-01 00:00:00+00:00,1,1,15.0,2.0
2021-11-02 00:00:00+00:00,1,1,3.0,1.0
2021-11-03 00:00:00+00:00,1,1,17.0,4.0
2021-11-04 00:00:00+00:00,2,2,,
2021-11-05 00:00:00+00:00,1,1,5.0,2.0
2021-11-06 00:00:00+00:00,1,1,4.0,1.0
2021-11-07 00:00:00+00:00,1,1,17.0,2.0
2021-11-08 00:00:00+00:00,1,1,24.0,5.0
2021-11-09 00:00:00+00:00,1,1,2.0,2.0
2021-11-10 00:00:00+00:00,2,2,,
2021-11-11 00:00:00+00:00,1,1,,
