time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-11-03 00:00:00+00:00,1.0,1.0,17.0,4.0
2021-11-04 00:00:00+00:00,2.0,2.0,,
2021-11-05 00:00:00+00:00,1.0,1.0,5.0,2.0
2021-11-06 00:00:00+00:00,1.0,1.0,4.0,1.0
2021-11-07 00:00:00+00:00,1.0,1.0,17.0,2.0
2021-11-08 00:00:00+00:00,1.0,1.0,24.0,5.0
2021-11-09 00:00:00+00:00,1.0,1.0,2.0,2.0
2021-11-10 00:00:00+00:00,2.0,2.0,,
2021-11-11 00:00:00+00:00,1.0,1.0,,
2021-11-12 00:00:00+00:00,1.0,1.0,,
2021-11-13 00:00:00+00:00,1.0,1.0,,
2021-11-14 00:00:00+00:00,1.0,1.0,3.0,1.0
2021-11-15 00:00:00+00:00,1.0,1.0,21.0,4.0
2021-11-16 00:00:00+00:00,,,2.0,1.0
