url_path,views_total,views_unique
/chjch/LAA4356,42,15
/chjch/LAA4356/tree/master/tutorials,25,11
/chjch/LAA4356/blob/master/tutorials/5-suitability.md,25,9
/chjch/LAA4356/blob/master/tutorials/1-software_and_data.md,19,8
/chjch/LAA4356/blob/master/tutorials/4-raster_analysis_design.md,15,10
/chjch/LAA4356/blob/master/tutorials/3-raster_geoprocessing.md,10,7
/chjch/LAA4356/blob/master/tutorials/metadata/lulc/lulc.md,6,2
/chjch/LAA4356/blob/master/tutorials/metadata/soils.md,4,2
/chjch/LAA4356/blob/master/tutorials/2-learn_arcpro.md,3,3
/chjch/LAA4356/blob/master/tutorials/exercise1.md,3,3
