url_path,views_total,views_unique
/chjch/LAA4356,20,9
/chjch/LAA4356/blob/master/tutorials/5-suitability.md,17,7
/chjch/LAA4356/tree/master/tutorials,11,7
/chjch/LAA4356/blob/master/tutorials/1-software_and_data.md,4,3
/chjch/LAA4356/blob/master/tutorials/metadata/lulc/lulc.md,4,1
/chjch/LAA4356/blob/master/tutorials/2-learn_arcpro.md,2,2
/chjch/LAA4356/tree/master/tutorials/img,2,2
/chjch/LAA4356/blob/master/tutorials/4-raster_analysis_design.md,2,1
/chjch/LAA4356/blob/master/tutorials/3-raster_geoprocessing.md,1,1
/chjch/LAA4356/blob/master/tutorials/exercise1.md,1,1
