time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-18 00:00:00+00:00,1,1,1.0,1.0
2021-10-19 00:00:00+00:00,1,1,,
2021-10-20 00:00:00+00:00,1,1,18.0,3.0
2021-10-21 00:00:00+00:00,6,2,,
2021-10-22 00:00:00+00:00,5,1,4.0,1.0
2021-10-23 00:00:00+00:00,14,2,,
2021-10-24 00:00:00+00:00,3,2,,
2021-10-25 00:00:00+00:00,2,1,8.0,1.0
2021-10-26 00:00:00+00:00,16,3,,
2021-10-27 00:00:00+00:00,1,1,,
2021-10-28 00:00:00+00:00,2,2,,
2021-10-29 00:00:00+00:00,1,1,,
2021-10-30 00:00:00+00:00,1,1,,
