url_path,views_total,views_unique
/chjch/LAA4356,70,15
/chjch/LAA4356/actions,34,2
/chjch/LAA4356/blob/master/tutorials/1-software_and_data.md,22,10
/chjch/LAA4356/tree/laa4356_ghrs,19,1
/chjch/LAA4356/blob/master/tutorials/2-learn_arcpro.md,16,6
/chjch/LAA4356/actions/runs/1161105952,15,1
/chjch/LAA4356/tree/master/tutorials,13,3
/chjch/LAA4356/actions/workflows/laa4356_ghrs.yml,11,1
/chjch/LAA4356/tree/laa4356_ghrs/chjch/LAA4356,10,1
/chjch/LAA4356/tree/laa4356_ghrs/chjch/LAA4356/latest-report,8,1
