url_path,views_total,views_unique
/chjch/LAA4356,12,5
/chjch/LAA4356/blob/master/tutorials/1-software_and_data.md,10,5
/chjch/LAA4356/blob/master/tutorials/metadata/DEM/dem.md,3,2
/chjch/LAA4356/blob/master/tutorials/metadata/census/census.md,3,1
/chjch/LAA4356/tree/master/tutorials,2,2
/chjch/LAA4356/tree/master/tutorials/metadata,2,2
/chjch/LAA4356/blob/master/tutorials/3-raster_geoprocessing.md,2,1
/chjch/LAA4356/blob/master/tutorials/4-raster_analysis_design.md,1,1
/chjch/LAA4356/blob/master/tutorials/5-suitability.md,1,1
/chjch/LAA4356/blob/master/tutorials/metadata/census/census_geo_entities.png,1,1
