time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-12 00:00:00+00:00,2,2,16,1
2021-09-13 00:00:00+00:00,3,3,145,9
2021-09-14 00:00:00+00:00,2,2,191,20
2021-09-15 00:00:00+00:00,1,1,149,19
2021-09-16 00:00:00+00:00,1,1,55,6
2021-09-17 00:00:00+00:00,1,1,55,8
2021-09-18 00:00:00+00:00,2,2,37,7
2021-09-19 00:00:00+00:00,3,3,27,4
2021-09-20 00:00:00+00:00,1,1,41,8
2021-09-21 00:00:00+00:00,2,2,7,4
2021-09-22 00:00:00+00:00,2,2,26,5
2021-09-23 00:00:00+00:00,1,1,7,3
2021-09-24 00:00:00+00:00,1,1,4,2
