time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-08-30 00:00:00+00:00,,,108.0,9.0
2021-08-31 00:00:00+00:00,1.0,1.0,52.0,12.0
2021-09-01 00:00:00+00:00,,,15.0,2.0
2021-09-02 00:00:00+00:00,,,3.0,1.0
2021-09-05 00:00:00+00:00,,,9.0,1.0
2021-09-07 00:00:00+00:00,6.0,5.0,153.0,1.0
2021-09-08 00:00:00+00:00,1.0,1.0,62.0,4.0
2021-09-09 00:00:00+00:00,1.0,1.0,3.0,2.0
2021-09-10 00:00:00+00:00,1.0,1.0,4.0,1.0
2021-09-11 00:00:00+00:00,1.0,1.0,,
2021-09-12 00:00:00+00:00,1.0,1.0,7.0,1.0
